state,county,total_population,num_icu_be,bed_utiliz,potential,pco60,cases,deaths,deaths_per_capita,deaths_per_case,cases_per_capita
Virginia,Henrico,324073,81,1.028566,0,0.003795441,817,89,0.000274629,0.108935129,0.002521037
Virginia,Loudoun,374558,33,0.86321099,0,0.003785796,628,12,3.20E-05,0.01910828,0.001676643
Virginia,Montgomery,97692,22,1.010187,0,0.007615772,54,1,1.02E-05,0.018518519,0.000552758
Virginia,Prince Edward,22903,8,0.453807,0,0.027376326,41,2,8.73E-05,0.048780488,0.001790158
Virginia,Prince William,450763,24,1.0607,0,0.005614924,1353,20,4.44E-05,0.014781966,0.003001577
Virginia,Pulaski,34330,8,0.181894,0,0.036382173,9,0,0,0,0.000262161
Virginia,Russell,27725,5,0.154319,0,0.054679892,3,0,0,0,0.000108206
Virginia,Smyth,31298,4,0.370411,0,0.070292031,13,0,0,0,0.000415362
Virginia,Spotsylvania,130159,12,0.5496151,0,0.01491253,119,3,2.30E-05,0.025210084,0.000914266
Virginia,Stafford,141159,4,0.444901,0,0.03501725,218,2,1.42E-05,0.009174312,0.001544358
Virginia,Tazewell,42689,12,0.202703,0,0.022816182,5,0,0,0,0.000117126
Virginia,Warren,38991,8,0.34592,0,0.027211408,44,0,0,0,0.001128466
Virginia,Washington,54457,14,0.633544,0,0.02018106,34,3,5.51E-05,0.088235294,0.000624346
Virginia,Wise,39539,8,0.190572,0,0.029540454,21,1,2.53E-05,0.047619048,0.000531121
Virginia,Wythe,29048,6,0.172722,0,0.045992839,11,1,3.44E-05,0.090909091,0.000378684
Washington,Benton,190529,44,1.193936,0,0.004518997,409,39,0.000204693,0.095354523,0.002146655
Washington,Chelan,75138,20,0.693867,0,0.012244137,97,6,7.99E-05,0.06185567,0.001290958
Washington,Clallam,73439,19,0.503583,0,0.019104291,15,0,0,0,0.000204251
Washington,Clark,457474,96,1.346442,54,0.002255866,339,21,4.59E-05,0.061946903,0.000741026
Washington,Cowlitz,103590,18,0.509573,180,0.014084371,39,0,0,0,0.000376484
Washington,Island,80323,6,0.591233,0,0.051019011,171,9,0.000112048,0.052631579,0.002128905
Washington,Jefferson,30524,6,0.485699,0,0.074400472,28,0,0,0,0.000917311
Washington,King,2118119,541,9.3005608,382,0.000405549,5992,418,0.000197345,0.06975968,0.002828925
Washington,Kitsap,258903,20,0.551025,38,0.011479203,148,2,7.72E-06,0.013513514,0.000571643
Washington,Kittitas,43726,6,0.251288,0,0.035493757,14,0,0,0,0.000320176
Washington,Lewis,76012,6,0.42076,0,0.045058675,29,3,3.95E-05,0.103448276,0.000381519
Washington,Mason,61569,6,0.462137,0,0.049927723,23,1,1.62E-05,0.043478261,0.000373565
Washington,Pierce,845193,197,3.889263,-40,0.000985574,1355,49,5.80E-05,0.036162362,0.001603184
Washington,Skagit,121725,6,0.475183,0,0.014565619,309,11,9.04E-05,0.035598706,0.002538509
Washington,Snohomish,771904,72,2.226131,0,0.002576745,2355,106,0.000137323,0.045010616,0.003050898
Washington,Spokane,490764,79,2.206226,0,0.001895005,353,19,3.87E-05,0.053824363,0.000719287
Washington,Thurston,269885,72,1.253669,0,0.003090205,100,1,3.71E-06,0.01,0.000370528
Washington,Walla Walla,59862,28,0.497631,0,0.008018442,57,0,0,0,0.00095219
Washington,Whatcom,212738,24,0.798888,34,0.009274319,290,27,0.000126917,0.093103448,0.001363179
Washington,Whitman,47794,6,0.379945,0,0.023392058,16,0,0,0,0.00033477
Washington,Yakima,248279,52,1.4588,0,0.003451762,1085,45,0.000181248,0.041474654,0.004370084
West Virginia,Berkeley,111610,20,0.628786,95,0.009810949,139,1,8.96E-06,0.007194245,0.001245408
West Virginia,Cabell,96100,32,1.39224,26,0.002695109,40,0,0,0,0.000416233
West Virginia,Fayette,44602,3,0.459288,0,0.090803103,10,0,0,0,0.000224205
West Virginia,Grant,11673,3,0.567233,36,0.099117622,1,0,0,0,8.57E-05
West Virginia,Greenbrier,35523,12,0.33913,30,0.02468823,3,0,0,0,8.45E-05
West Virginia,Harrison,68438,20,0.63453,60,0.012566118,30,1,1.46E-05,0.033333333,0.000438353
West Virginia,Jefferson,55673,5,0.414247,0,0.042803513,75,0,0,0,0.001347152
West Virginia,Kanawha,187827,100,1.007267,-444,0.001693047,156,4,2.13E-05,0.025641026,0.000830552
West Virginia,Lewis,16371,6,0.203718,0,0.044652129,4,0,0,0,0.000244334
West Virginia,Logan,34428,12,0.459257,8,0.020709887,12,1,2.90E-05,0.083333333,0.000348554
West Virginia,Marshall,32006,9,0.293894,68,0.032150222,11,0,0,0,0.000343686
West Virginia,Mason,27000,5,0.151676,107,0.053,12,0,0,0,0.000444444
West Virginia,McDowell,19707,7,0.128208,75,0.038209773,6,0,0,0,0.00030446
West Virginia,Mercer,60963,17,0.460851,35,0.009612388,9,0,0,0,0.000147631
West Virginia,Mineral,27421,4,0.239452,0,0.067612414,14,0,0,0,0.000510558
West Virginia,Mingo,25150,6,0.15241,49,0.040874751,2,1,3.98E-05,0.5,7.95E-05
West Virginia,Monongalia,103715,91,1.312766,95,0.001359495,102,4,3.86E-05,0.039215686,0.000983464
West Virginia,Ohio,42906,22,0.578451,24,0.007574698,26,1,2.33E-05,0.038461538,0.000605976
West Virginia,Raleigh,77097,27,0.963128,60,0.006109187,8,0,0,0,0.000103765
West Virginia,Upshur,24604,4,0.347616,26,0.064623638,4,0,0,0,0.000162575
West Virginia,Wetzel,15793,5,0.113756,10,0.057303869,3,0,0,0,0.000189958
West Virginia,Wood,86016,18,0.561346,43,0.007231213,38,2,2.33E-05,0.052631579,0.000441778
Wisconsin,Barron,45358,5,0.373425,0,0.055778473,6,0,0,0,0.000132281
Wisconsin,Brown,258004,56,1.676384,375,0.003209253,853,2,7.75E-06,0.002344666,0.00330615
Wisconsin,Chippewa,63445,6,0.327773,91,0.039088975,20,0,0,0,0.000315234
Wisconsin,Columbia,56790,10,0.627561,30,0.023754182,27,1,1.76E-05,0.037037037,0.000475436
Wisconsin,Dane,522837,32,1.619134,262,0.004609467,412,21,4.02E-05,0.050970874,0.000788008
Wisconsin,Dodge,87833,10,0.264255,0,0.023203124,30,1,1.14E-05,0.033333333,0.000341557
Wisconsin,Door,27443,4,0.42411,0,0.093539336,10,1,3.64E-05,0.1,0.000364392
Wisconsin,Eau Claire,102388,40,1.171926,287,0.00414111,25,0,0,0,0.000244169
Wisconsin,Fond du Lac,102082,15,0.779703,31,0.015673674,69,3,2.94E-05,0.043478261,0.000675927
Wisconsin,Green,36869,6,0.408597,37,0.04027774,11,0,0,0,0.000298354
Wisconsin,Green Lake,18745,5,0.390356,0,0.057988797,2,0,0,0,0.000106695
Wisconsin,Jefferson,84586,4,0.215891,33,0.054110609,39,0,0,0,0.000461069
Wisconsin,Kenosha,167886,27,1.16133,115,0.006969015,340,7,4.17E-05,0.020588235,0.002025184
Wisconsin,La Crosse,117582,52,1.102171,261,0.00399721,26,0,0,0,0.000221122
Wisconsin,Manitowoc,79680,16,0.611838,109,0.01622741,11,1,1.26E-05,0.090909091,0.000138052
Wisconsin,Marathon,135293,52,1.216662,102,0.00438308,17,1,7.39E-06,0.058823529,0.000125653
Wisconsin,Marinette,40712,10,0.321192,44,0.030212222,7,1,2.46E-05,0.142857143,0.000171939
Wisconsin,Milwaukee,956586,455,5.042348,655,0.00047565,2674,167,0.000174579,0.062453254,0.002795358
Wisconsin,Oneida,35352,30,0.813323,70,0.016689296,6,0,0,0,0.000169722
Wisconsin,Outagamie,183288,64,0.997978,51,0.00301711,47,2,1.09E-05,0.042553191,0.000256427
Wisconsin,Ozaukee,87817,46,1.0958407,63,0.00543175,86,9,0.000102486,0.104651163,0.000979309
Wisconsin,Polk,43328,3,0.49874,0,0.089480244,4,0,0,0,9.23E-05
Wisconsin,Portage,70371,12,0.358774,10,0.017876682,4,0,0,0,5.68E-05
Wisconsin,Price,13566,4,0.151484,1,0.083222763,1,0,0,0,7.37E-05
Wisconsin,Racine,195101,33,0.959812,133,0.006535077,273,10,5.13E-05,0.036630037,0.001399275
Wisconsin,Richland,17626,4,0.420932,0,0.073017134,11,1,5.67E-05,0.090909091,0.000624078
Wisconsin,Rock,161226,33,1.3109373,197,0.006562217,164,5,3.10E-05,0.030487805,0.001017206
Wisconsin,Rusk,14211,4,0.153416,0,0.077615931,4,0,0,0,0.000281472
Wisconsin,Sauk,63340,10,0.643843,57,0.023776445,42,3,4.74E-05,0.071428571,0.000663088
Wisconsin,Sheboygan,115094,13,0.682657,181,0.018046119,46,2,1.74E-05,0.043478261,0.000399673
Wisconsin,Walworth,102917,16,0.842369,55,0.013748943,138,8,7.77E-05,0.057971014,0.001340886
Wisconsin,Washington,133967,12,0.913659,36,0.018900177,94,4,2.99E-05,0.042553191,0.000701665
Wisconsin,Waukesha,396731,64,1.9289439,360,0.003748132,313,15,3.78E-05,0.047923323,0.000788948
Wisconsin,Waupaca,51651,4,0.341479,0,0.067297826,7,1,1.94E-05,0.142857143,0.000135525
Wisconsin,Winnebago,169540,60,1.770242,108,0.008074791,48,1,5.90E-06,0.020833333,0.000283119
Wisconsin,Wood,73427,4,0.560609,54,0.00950604,2,0,0,0,2.72E-05
Wyoming,Albany,37944,4,0.190452,33,0.038794012,7,0,0,0,0.000184482
Wyoming,Campbell,48116,14,0.265255,24,0.009622579,14,0,0,0,0.000290964
Wyoming,Carbon,15689,6,0.186849,0,0.036331187,4,0,0,0,0.000254956
Wyoming,Fremont,40354,12,0.128829,26,0.020121921,98,4,9.91E-05,0.040816327,0.002428508
Wyoming,Laramie,97031,15,0.51336,36,0.013789408,89,1,1.03E-05,0.011235955,0.000917233
Wyoming,Natrona,81023,14,0.461851,0,0.01413179,39,0,0,0,0.000481345
Wyoming,Park,29276,4,0.493041,0,0.072380107,1,0,0,0,3.42E-05
Wyoming,Sheridan,29964,11,0.367521,17,0.025297023,12,0,0,0,0.000400481
Wyoming,Sweetwater,44527,10,0.216816,41,0.015765715,10,0,0,0,0.000224583
Wyoming,Teton,22923,6,0.319578,0,0.031235004,64,1,4.36E-05,0.015625,0.002791956
Wyoming,Uinta,20758,6,0.128853,10,0.028519125,6,0,0,0,0.000289045
